序号,性别,年龄,是否独生子女,父母文化水平,是否恋爱,你的手机使用年限是多久？,你平均每月的手机消费（含话费、流量等）是多少？,手机功能-打电话,手机功能-发短信,手机功能-拍照摄影,手机功能-看电视/听音乐,手机功能-上网,手机动机-人际交往,手机动机-打发时间,手机动机-体现个性,手机动机-娱乐消遣,手机动机-学习/工作需要,每日手机使用时间,当我企图减少或停止使用手机时，我会觉得沮丧，心情低落或脾气易躁,当因上课、聚餐的而必须关机时，会感到烦躁,当手机有一段时间没有响，我的脑海会开始浮现手机有未接来电的念头,当我幻听到手机铃声响起或震动时，总会下意识拿出手机查看,一段时间不查看手机是否有信息或不开机，会令我感到焦虑,如果没有手机我会感到不知所措,戒断症状-总分,我总觉得使用手机的时间不够,我觉得需要花更多的时间在手机上才能得到满足,我时常做有关手机的梦,渴求性-总分,我玩手机过多导致睡眠不足,我有时候宁愿拿着手机玩，也不愿意处理其他一些更紧迫的事,因为使用手机的关系，我平时休闲活动时间减少了,使用手机直接影响了我的学习或工作效率,身心影响-总分,手机依赖-总分,我觉得很难让自己安静下来。,我对所处的环境（情况）容易反应过度,我觉得自己消耗很多精神。,我感到忐忑不安。,我感到很难放松自己。,我无法容忍任何阻碍我继续工作的事情。,我发觉自己很容易被触怒。,压力维度-总分,我感到口干舌燥。,我感到呼吸困难（例如：不做运动时也感到气促或透不过气来）。,我感到颤抖（例如：手打哆嗦）。,我担心一些令自己恐慌或出丑的场合。,我感到快要恐慌了。,我察觉自己在没有明显的体力劳动时，也感到心律不正常。（例如：感到心跳过快或心率不齐）,我无缘无故地感到害怕。,焦虑维度-总分,我好像不再有任何愉快、舒畅的感觉。,我感到很难主动去开始工作。,我觉得自己对将来没有什么可盼望。,我感到忧郁沮丧。,我对任何事也不热衷。,我觉得自己不怎么配做人。,我感到生命毫无意义。,抑郁维度-总分
1,2,21,2,4,2,4,1,1,1,1,1,1,1,1,0,1,1,5,3,2,1,5,2,1,14,1,1,1,3,5,3,4,3,15,32,2,0,4,4,4,2,2,18,4,4,2,4,2,4,4,24,2,0,2,4,2,0,0,10
2,2,21,1,4,1,4,2,1,1,1,1,1,1,1,0,1,1,3,2,1,1,3,2,2,11,3,2,1,6,3,1,1,1,6,23,0,0,0,0,2,2,0,4,0,0,0,2,0,2,0,4,0,0,0,0,2,0,0,2
3,2,21,1,5,1,3,2,1,0,1,1,1,1,0,0,1,1,3,4,4,4,4,4,4,24,2,2,2,6,2,3,2,3,10,40,2,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,21,2,3,2,4,6,1,1,1,1,1,1,1,0,1,1,5,1,1,1,1,1,1,6,1,1,1,3,2,1,2,2,7,16,0,0,2,2,2,6,2,14,0,0,0,4,4,0,2,10,0,0,0,2,0,0,0,2
5,2,21,2,4,2,5,2,1,0,1,1,1,1,1,0,1,1,4,4,2,3,4,4,2,19,4,4,1,9,2,3,2,2,9,37,2,2,4,4,0,2,4,18,2,0,0,4,0,2,4,12,0,0,0,2,0,0,0,2
6,2,20,1,5,1,5,2,1,0,1,1,0,1,1,1,1,1,6,5,5,5,5,5,5,30,5,5,5,15,5,5,5,1,16,61,0,4,4,2,2,4,2,18,0,0,0,4,4,4,4,16,0,2,0,2,0,0,0,4
8,2,21,2,5,2,4,3,1,1,1,1,1,1,1,0,1,1,4,3,3,3,4,2,4,19,4,4,1,9,2,3,4,4,13,41,4,2,4,0,2,2,2,16,2,2,0,2,0,2,0,8,2,2,0,2,2,0,0,8
9,2,20,1,3,1,5,3,1,1,1,1,1,1,1,0,1,1,4,1,1,1,1,1,3,8,1,1,1,3,2,4,2,2,10,21,0,0,2,0,2,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
11,2,22,1,5,2,5,1,0,0,0,1,1,1,1,1,1,1,6,2,2,4,4,4,4,20,4,4,4,12,4,4,4,4,16,48,4,4,4,4,4,4,2,26,2,2,2,4,4,2,4,20,2,2,2,4,2,2,2,16
12,2,21,1,5,2,5,4,1,0,0,1,1,1,1,0,1,1,3,4,4,4,4,4,3,23,3,4,3,10,4,4,4,3,15,48,2,2,4,2,4,2,4,20,2,4,2,4,4,2,4,22,4,4,2,2,2,2,2,18
13,2,22,1,3,2,2,2,1,0,0,1,1,1,0,0,1,1,5,3,4,3,4,3,5,22,3,3,3,9,4,4,4,5,17,48,4,4,4,2,6,4,0,24,6,2,2,4,2,4,4,24,2,4,4,2,2,2,0,16
14,2,21,1,5,1,5,6,1,0,1,1,1,0,1,1,1,0,4,1,1,1,3,1,2,9,3,2,1,6,4,3,2,3,12,27,2,2,4,2,4,2,2,18,2,0,2,2,0,0,0,6,0,2,0,0,0,0,0,2
15,2,21,2,4,2,4,4,0,0,1,1,1,1,1,0,1,1,5,3,3,3,5,3,4,21,2,3,1,6,3,2,3,4,12,39,2,0,4,2,4,4,0,16,0,0,0,4,0,2,0,6,2,4,2,4,2,0,0,14
16,2,21,1,4,2,3,3,1,1,1,1,1,1,0,0,1,0,4,2,2,2,1,1,3,11,2,3,1,6,4,3,3,3,13,30,2,2,4,2,2,2,2,16,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
17,2,21,1,5,2,5,6,0,0,1,0,1,0,0,1,1,1,4,1,1,2,5,2,4,15,4,4,1,9,1,4,5,4,14,38,4,4,4,0,0,2,0,14,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
18,2,21,2,5,2,5,6,1,1,1,1,1,1,1,1,1,1,6,5,5,2,5,5,5,27,5,5,1,11,5,5,4,4,18,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,21,2,4,1,2,2,1,1,1,1,1,1,1,0,1,1,3,2,2,2,4,4,4,18,2,2,1,5,2,3,2,3,10,33,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,21,1,5,2,5,3,1,0,1,1,1,1,1,1,1,1,6,5,5,5,5,5,5,30,5,5,2,12,5,5,5,5,20,62,4,6,6,2,2,2,2,24,2,2,2,4,2,4,2,18,2,6,2,2,2,2,2,18
21,2,21,2,5,1,5,3,1,0,1,1,1,1,1,0,1,1,3,2,2,2,4,3,2,15,2,2,1,5,2,2,2,2,8,28,2,2,2,2,2,2,2,14,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2
23,2,21,1,3,2,4,2,0,0,0,1,1,0,1,0,1,0,4,2,1,2,4,2,2,13,1,2,1,4,5,5,2,5,17,34,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
25,2,21,2,4,1,5,1,1,1,1,1,1,1,1,0,1,1,4,3,2,4,4,5,5,23,2,2,1,5,2,1,2,3,8,36,0,2,0,2,4,4,2,14,0,0,0,2,2,0,0,4,4,0,0,6,2,0,0,12
